version_id,question_number,answer,productive_answer,anchor_question,ccf_code,question_code
LBP59,1,beach,TRUE,FALSE,A,D
LBP59,2,volunteers,TRUE,FALSE,A,D
LBP59,3,wheelchair,TRUE,FALSE,A,D
LBP59,4,cabins,TRUE,FALSE,A,D
LBP59,5,showers,TRUE,FALSE,A,D
LBP59,6,lake,TRUE,FALSE,A,D
LBP59,7,games,TRUE,FALSE,A,D
LBP59,8,kites,TRUE,FALSE,A,D
LBP59,9,climbing,TRUE,FALSE,A,D
LBP59,10,chess,TRUE,FALSE,A,D
LBP59,11,horses,TRUE,FALSE,A,D
LBP59,12,drumming / drums,TRUE,FALSE,A,D
LBP59,13,movie / film,TRUE,FALSE,A,D
LBP59,14,C,FALSE,FALSE,C,D
LBP59,15,B,FALSE,FALSE,B,D
LBP59,16,C,FALSE,FALSE,C,D
LBP59,17,A,FALSE,FALSE,A,D
LBP59,18,B,FALSE,FALSE,B,D
LBP59,19,A,FALSE,FALSE,A,D
LBP59,20,H,FALSE,FALSE,H,D
LBP59,21,B,FALSE,FALSE,B,D
LBP59,22,C,FALSE,FALSE,C,D
LBP59,23,G,FALSE,FALSE,G,D
LBP59,24,D,FALSE,FALSE,D,D
LBP59,25,F,FALSE,FALSE,F,D
LBP59,26,A,FALSE,FALSE,A,D
LBP59,27,B,FALSE,FALSE,B,D
LBP59,28,B,FALSE,FALSE,B,D
LBP59,29,C,FALSE,FALSE,C,D
LBP59,30,A,FALSE,FALSE,A,D
LBP59,31,B,FALSE,FALSE,B,D
LBP59,32,C,FALSE,FALSE,C,D
LBP59,33,B,FALSE,FALSE,B,D
LBP59,34,A,FALSE,FALSE,A,D
LBP59,35,B,FALSE,FALSE,B,D
LBP59,36,A,FALSE,FALSE,A,D
LBP59,37,D,FALSE,FALSE,D,D
LBP59,38,F,FALSE,FALSE,F,D
LBP59,39,E,FALSE,FALSE,E,D
LBP59,40,function(s),TRUE,TRUE,A,D
LBP59,41,trumpet,TRUE,TRUE,A,D
LBP59,42,receiver,TRUE,TRUE,A,D
LBP59,43,magnet,TRUE,TRUE,A,D
LBP59,44,conversation(s),TRUE,TRUE,A,D
LBP59,45,(tele)phone / tel,TRUE,TRUE,A,D
LBP59,46,direction(s),TRUE,TRUE,A,D
LBP59,47,instrument(s),TRUE,TRUE,A,D
LBP59,48,training / help,TRUE,TRUE,A,D
LBP59,49,technology,TRUE,TRUE,A,D
LBP23,1,(climbing) rope(s),TRUE,TRUE,A,D
LBP23,2,(climbing/the) equipment/gear,TRUE,TRUE,A,D
LBP23,3,safety,TRUE,TRUE,A,D
LBP23,4,(tour) guide,TRUE,TRUE,A,D
LBP23,5,forest / woods,TRUE,TRUE,A,D
LBP23,6,navigation / navigating,TRUE,TRUE,A,D
LBP23,7,lunch,TRUE,TRUE,A,D
LBP23,8,20/twenty %/per cent,TRUE,TRUE,A,D
LBP23,9,shoes / footwear,TRUE,TRUE,A,D
LBP23,10,Arkwright,TRUE,TRUE,A,D
LBP23,11,C,FALSE,FALSE,C,G
LBP23,12,D,FALSE,FALSE,D,:
LBP23,13,B,FALSE,FALSE,B,G
LBP23,14,E,FALSE,FALSE,E,:
LBP23,15,B,FALSE,FALSE,B,G
LBP23,16,E,FALSE,FALSE,E,:
LBP23,17,B,FALSE,FALSE,B,D
LBP23,18,B,FALSE,FALSE,B,D
LBP23,19,C,FALSE,FALSE,C,D
LBP23,20,A,FALSE,FALSE,A,D
LBP23,21,C,FALSE,FALSE,C,D
LBP23,22,A,FALSE,FALSE,A,D
LBP23,23,C,FALSE,FALSE,C,D
LBP23,24,B,FALSE,FALSE,B,D
LBP23,25,H,FALSE,FALSE,H,D
LBP23,26,G,FALSE,FALSE,G,D
LBP23,27,F,FALSE,FALSE,F,D
LBP23,28,A,FALSE,FALSE,A,D
LBP23,29,C,FALSE,FALSE,C,D
LBP23,30,D,FALSE,FALSE,D,D
LBP23,31,C,FALSE,FALSE,C,D
LBP23,32,A,FALSE,FALSE,A,D
LBP23,33,C,FALSE,FALSE,C,D
LBP23,34,B,FALSE,FALSE,B,D
LBP23,35,B,FALSE,FALSE,B,D
LBP23,36,A,FALSE,FALSE,A,D
LBP23,37,horizontal,TRUE,FALSE,A,D
LBP23,38,generations,TRUE,FALSE,A,D
LBP23,39,steel,TRUE,FALSE,A,D
LBP23,40,soil / earth / dirt,TRUE,FALSE,A,D
LBP23,41,road(s),TRUE,FALSE,A,D
LBP23,42,trade / trading,TRUE,FALSE,A,D
LBP23,43,tourism / tourists,TRUE,FALSE,A,D
LBP23,44,conservation,TRUE,FALSE,A,D
LBP23,45,writing,TRUE,FALSE,A,D
LBP23,46,interviews,TRUE,FALSE,A,D
LBP23,47,photos / photographs,TRUE,FALSE,A,D
LBP23,48,model,TRUE,FALSE,A,D
LBP23,49,temperature(s),TRUE,FALSE,A,D
GTRCP54,1,E,FALSE,FALSE,E,D
GTRCP54,2,D,FALSE,FALSE,D,D
GTRCP54,3,C,FALSE,FALSE,C,D
GTRCP54,4,A,FALSE,FALSE,A,D
GTRCP54,5,B,FALSE,FALSE,B,D
GTRCP54,6,D,FALSE,FALSE,D,D
GTRCP54,7,A,FALSE,FALSE,A,D
GTRCP54,8,C,FALSE,FALSE,C,D
GTRCP54,9,TRUE,FALSE,FALSE,A,D
GTRCP54,10,NOT GIVEN,FALSE,FALSE,C,D
GTRCP54,11,NOT GIVEN,FALSE,FALSE,C,D
GTRCP54,12,FALSE,FALSE,FALSE,B,D
GTRCP54,13,TRUE,FALSE,FALSE,A,D
GTRCP54,14,TRUE,FALSE,FALSE,A,D
GTRCP54,15,NOT GIVEN,FALSE,FALSE,C,D
GTRCP54,16,FALSE,FALSE,FALSE,B,D
GTRCP54,17,FALSE,FALSE,FALSE,B,D
GTRCP54,18,(national) flag,TRUE,FALSE,A,D
GTRCP54,19,database,TRUE,FALSE,A,D
GTRCP54,20,class,TRUE,FALSE,A,D
GTRCP54,21,Right Start,TRUE,FALSE,A,D
GTRCP54,22,examination report,TRUE,FALSE,A,D
GTRCP54,23,journal,TRUE,FALSE,A,D
GTRCP54,24,objections,TRUE,FALSE,A,D
GTRCP54,25,certificate,TRUE,FALSE,A,D
GTRCP54,26,sell,TRUE,FALSE,A,D
GTRCP54,27,experts,TRUE,FALSE,A,D
GTRCP54,28,technology,TRUE,FALSE,A,D
GTRCP54,29,image,TRUE,FALSE,A,D
GTRCP54,30,competitors,TRUE,FALSE,A,D
GTRCP54,31,unique,TRUE,FALSE,A,D
GTRCP54,32,consistent,TRUE,FALSE,A,D
GTRCP54,33,email,TRUE,FALSE,A,D
GTRCP54,34,discounts,TRUE,FALSE,A,D
GTRCP54,35,outsource,TRUE,FALSE,A,D
GTRCP54,36,F,FALSE,TRUE,F,D
GTRCP54,37,C,FALSE,TRUE,C,D
GTRCP54,38,E,FALSE,TRUE,E,D
GTRCP54,39,F,FALSE,TRUE,F,D
GTRCP54,40,A,FALSE,TRUE,A,D
GTRCP54,41,G,FALSE,TRUE,G,D
GTRCP54,42,NOT GIVEN,FALSE,TRUE,C,D
GTRCP54,43,TRUE,FALSE,TRUE,A,D
GTRCP54,44,FALSE,FALSE,TRUE,B,D
GTRCP54,45,TRUE,FALSE,TRUE,A,D
GTRCP54,46,NOT GIVEN,FALSE,TRUE,C,D
GTRCP54,47,FALSE,FALSE,TRUE,B,D
GTRCP54,48,TRUE,FALSE,TRUE,A,D
ACRAP123,1,B,FALSE,TRUE,B,D
ACRAP123,2,D,FALSE,TRUE,D,D
ACRAP123,3,G,FALSE,TRUE,G,D
ACRAP123,4,A,FALSE,TRUE,A,D
ACRAP123,5,F,FALSE,TRUE,F,D
ACRAP123,6,C,FALSE,TRUE,C,D
ACRAP123,7,E,FALSE,TRUE,E,D
ACRAP123,8,FALSE,FALSE,TRUE,B,D
ACRAP123,9,NOT GIVEN,FALSE,TRUE,C,D
ACRAP123,10,TRUE,FALSE,TRUE,A,D
ACRAP123,11,FALSE,FALSE,TRUE,B,D
ACRAP123,12,NOT GIVEN,FALSE,TRUE,C,D
ACRAP123,13,D,FALSE,TRUE,D,D
ACRAP123,14,B,FALSE,FALSE,B,D
ACRAP123,15,D,FALSE,FALSE,D,D
ACRAP123,16,E,FALSE,FALSE,E,D
ACRAP123,17,D,FALSE,FALSE,D,D
ACRAP123,18,B,FALSE,FALSE,B,D
ACRAP123,19,E,FALSE,FALSE,E,D
ACRAP123,20,A,FALSE,FALSE,A,D
ACRAP123,21,C,FALSE,FALSE,C,D
ACRAP123,22,B,FALSE,FALSE,B,G
ACRAP123,23,D,FALSE,FALSE,D,:
ACRAP123,24,C,FALSE,FALSE,C,G
ACRAP123,25,D,FALSE,FALSE,D,:
ACRAP123,26,language(s),TRUE,FALSE,A,D
ACRAP123,27,pottery,TRUE,FALSE,A,D
ACRAP123,28,deforestation,TRUE,FALSE,A,D
ACRAP123,29,villages,TRUE,FALSE,A,D
ACRAP123,30,kingdoms,TRUE,FALSE,A,D
ACRAP123,31,NO,FALSE,FALSE,B,D
ACRAP123,32,NOT GIVEN,FALSE,FALSE,C,D
ACRAP123,33,NO,FALSE,FALSE,B,D
ACRAP123,34,YES,FALSE,FALSE,A,D
ACRAP123,35,YES,FALSE,FALSE,A,D
ACRAP123,36,NOT GIVEN,FALSE,FALSE,C,D
ACRAP123,37,E,FALSE,FALSE,E,D
ACRAP123,38,B,FALSE,FALSE,B,D
ACRAP123,39,F,FALSE,FALSE,F,D
ACRAP123,40,A,FALSE,FALSE,A,D
ACRAP123,41,D,FALSE,FALSE,D,D
ACRAP123,42,A,FALSE,FALSE,A,D
ACRAP123,43,B,FALSE,FALSE,B,D
ACRAP123,44,C,FALSE,FALSE,C,D
ACRAP123,45,D,FALSE,FALSE,D,D
ACRAP123,46,B,FALSE,FALSE,B,D
ACRAP123,47,C,FALSE,FALSE,C,D
ACRAP117,1,TRUE,FALSE,FALSE,A,D
ACRAP117,2,FALSE,FALSE,FALSE,B,D
ACRAP117,3,TRUE,FALSE,FALSE,A,D
ACRAP117,4,TRUE,FALSE,FALSE,A,D
ACRAP117,5,NOT GIVEN,FALSE,FALSE,C,D
ACRAP117,6,NOT GIVEN,FALSE,FALSE,C,D
ACRAP117,7,FALSE,FALSE,FALSE,B,D
ACRAP117,8,(cross)bar,TRUE,FALSE,A,D
ACRAP117,9,runway,TRUE,FALSE,A,D
ACRAP117,10,box,TRUE,FALSE,A,D
ACRAP117,11,pit,TRUE,FALSE,A,D
ACRAP117,12,upright,TRUE,FALSE,A,D
ACRAP117,13,wood,TRUE,FALSE,A,D
ACRAP117,14,flexibility,TRUE,FALSE,A,D
ACRAP117,15,metal,TRUE,FALSE,A,D
ACRAP117,16,energy,TRUE,FALSE,A,D
ACRAP117,17,D,FALSE,TRUE,D,D
ACRAP117,18,E,FALSE,TRUE,E,D
ACRAP117,19,G,FALSE,TRUE,G,D
ACRAP117,20,C,FALSE,TRUE,C,D
ACRAP117,21,F,FALSE,TRUE,F,D
ACRAP117,22,law,TRUE,TRUE,A,D
ACRAP117,23,science,TRUE,TRUE,A,D
ACRAP117,24,(experimental) physics,TRUE,TRUE,A,D
ACRAP117,25,literature,TRUE,TRUE,A,D
ACRAP117,26,D,FALSE,TRUE,D,D
ACRAP117,27,A,FALSE,TRUE,A,D
ACRAP117,28,C,FALSE,TRUE,C,D
ACRAP117,29,B,FALSE,TRUE,B,D
ACRAP117,30,F,FALSE,FALSE,F,D
ACRAP117,31,E,FALSE,FALSE,E,D
ACRAP117,32,A,FALSE,FALSE,A,D
ACRAP117,33,B,FALSE,FALSE,B,D
ACRAP117,34,D,FALSE,FALSE,D,D
ACRAP117,35,G,FALSE,FALSE,G,D
